customerID,TotalCharges,MonthlyCharges,SeniorCitizen,tenure,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
7590-VHVEG,29.85,29.85,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0
5575-GNVDE,1889.5,56.95,0,34,1,0,0,1,0,0,2,0,2,0,0,0,1,0,3,0
3668-QPYBK,108.15,53.85,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,1,3,1
7795-CFOCW,1840.75,42.3,0,45,1,0,0,0,1,0,2,0,2,2,0,0,1,0,0,0
9237-HQITU,151.65,70.7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1
9305-CDSKC,820.5,99.65,0,8,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1
1452-KIOVK,1949.4,89.1,0,22,1,0,1,1,2,1,0,2,0,0,2,0,0,1,1,0
6713-OKOMC,301.9,29.75,0,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0
7892-POOKP,3046.05,104.8,0,28,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1
6388-TABGU,3487.95,56.15,0,62,1,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0
9763-GRSKD,587.45,49.95,0,13,1,1,1,1,0,0,2,0,0,0,0,0,0,1,3,0
7469-LKBCI,326.8,18.95,0,16,1,0,0,1,0,2,1,1,1,1,1,1,2,0,1,0
8091-TTVAX,5681.1,100.35,0,58,1,1,0,1,2,1,0,0,2,0,2,2,1,0,1,0
0280-XJGEX,5036.3,103.7,0,49,1,0,0,1,2,1,0,2,2,0,2,2,0,1,0,1
5129-JLPIS,2686.05,105.5,0,25,1,0,0,1,0,1,2,0,2,2,2,2,0,1,2,0
3655-SNQYZ,7895.15,113.25,0,69,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,0
8191-XWSZG,1022.95,20.65,0,52,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0
9959-WOFKT,7382.25,106.7,0,71,1,0,1,1,2,1,2,0,2,0,2,2,2,0,0,0
4190-MFLUW,528.35,55.2,0,10,0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,1
4183-MYFRB,1862.9,90.05,0,21,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,0
8779-QRDMV,39.65,39.65,1,1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1
1680-VDCWW,202.25,19.8,0,12,1,1,0,1,0,2,1,1,1,1,1,1,1,0,0,0
1066-JKSGK,20.15,20.15,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1
3638-WEABW,3505.1,59.9,0,58,0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,0
